condition,arm,model,clip_idx,command,category,transcript,success,correct_function,correct_params,expected_function,actual_function,expected_params,actual_params,latency_ms,wer_raw,wer_norm,error
main_en,pipeline,LFM2 1.2B Tool,13,Set brightness for reading,contextual,said rightness for reading.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":70}",{},25481,0.5,0.5,"No tool calls generated; raw: ""I understand you're asking about rightness in relation to reading, but the provided tools don't directly address that concept. However, I can offer some related functionalities that might be helpful in your reading experience. For example, I can adjust the screen brightness to make reading more comf…"""
main_en,pipeline,LFM2 1.2B Tool,14,Turn on do not disturb for 30 minutes,temporal,"Turn on, do not disturb mode for 30 minutes.",1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":30}","{""durationMinutes"":30}",19109,0.125,0.125,
main_en,pipeline,LFM2 1.2B Tool,15,Torch off please,direct,Dorch of please.,0,0,0,toggleFlashlight,,"{""enable"":false}",{},25869,0.6666666666666666,0.6666666666666666,"No tool calls generated; raw: ""I understand you're frustrated, but I'm not sure how I can help with that. I can't directly ""please"" anyone. However, I can offer to help you manage your environment in other ways. For example, I can enable Do Not Disturb mode for a set duration, control the flashlight, adjust the volume, change the…"""
main_en,pipeline,LFM2 1.2B Tool,16,Make screen brighter,direct,Mix green brighter.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},21131,0.6666666666666666,0.6666666666666666,"No tool calls generated; raw: ""I am sorry, I do not have a tool to directly adjust the color or brightness of the screen. However, I can adjust the screen brightness if you would like. Would you like me to set the brightness to a specific percentage?"""
main_en,pipeline,LFM2 1.2B Tool,17,Quiet mode for 1 hour,temporal,Quite mode for one hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",18625,0.4,0.2,
main_en,pipeline,LFM2 1.2B Tool,18,Dim screen for sleeping,contextual,Then screen for sleeping.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":10}",{},23661,0.25,0.25,"No tool calls generated; raw: ""I understand you want to set the screen brightness to sleep mode when the device is sleeping. Unfortunately, I don't have a specific tool to directly set the screen brightness to sleep mode. However, I can help you create a rule that would automatically adjust the screen brightness to sleep mode whe…"""
main_en,pipeline,LFM2 1.2B Tool,19,Enable quiet mode when at church,rule,Enable quiet mode when I church.,0,0,0,createRule,setDoNotDisturb,"{""trigger"":""at church"",""action"":""enable_dnd""}","{""durationMinutes"":60}",18608,0.16666666666666666,0.16666666666666666,
main_en,pipeline,LFM2 1.2B Tool,20,Brighten screen,direct,Brightens screen.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":100}","{""brightnessPercent"":75}",18706,0.5,0.5,
main_en,pipeline,LFM2 1.2B Tool,21,Set phone for quiet work environment,contextual,Set phone for quiet walk environment.,0,0,0,setVolume,setDoNotDisturb,"{""volumePercent"":25}","{""durationMinutes"":30}",19017,0.16666666666666666,0.16666666666666666,
main_en,pipeline,LFM2 1.2B Tool,22,Brightness up,direct,Brightness up.,1,1,1,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":80}","{""brightnessPercent"":80}",18834,0.0,0.0,
main_en,pipeline,LFM2 1.2B Tool,23,Flashlight on,direct,Flashlight on.,1,1,1,toggleFlashlight,toggleFlashlight,"{""enable"":true}","{""enable"":true}",18357,0.0,0.0,
main_en,pipeline,LFM2 1.2B Tool,24,Enable do not disturb mode for 25 minutes,temporal,enable do not disturb mode for 25 minutes,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":25}","{""durationMinutes"":25}",18992,0.0,0.0,
main_en,pipeline,LFM2 1.2B Tool,25,Screen to 90 percent,parameter,Screen to 90%,1,1,1,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":90}","{""brightnessPercent"":90}",19056,0.25,0.0,
main_en,pipeline,LFM2 1.2B Tool,26,Brighten screen,direct,Right-end screen.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},22954,1.0,1.0,"No tool calls generated; raw: ""I understand you want to adjust the screen brightness to the right end, but I don't have a specific tool to directly control the screen brightness in that way. However, I can adjust the screen brightness to a percentage between 0 and 100. Would you like me to set the screen brightness to a specific …"""
main_en,pipeline,LFM2 1.2B Tool,28,Phone settings for meditation,contextual,Phone setting to meditation.,0,0,0,setVolume,setDoNotDisturb,"{""volumePercent"":15}","{""durationMinutes"":30}",18632,0.5,0.5,
main_en,pipeline,LFM2 350M,0,Turn off flashlight,direct,Turn off the flashlight.,0,0,1,toggleFlashlight,setDoNotDisturb,"{""enable"":false}","{""enable"":false}",8090,0.3333333333333333,0.3333333333333333,
main_en,pipeline,LFM2 350M,1,Quiet mode for 1 hour,temporal,Quite mode for 1 hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",7679,0.2,0.2,
main_en,pipeline,LFM2 350M,2,I need quiet time for one hour,temporal,I need quite time for one hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",7995,0.14285714285714285,0.14285714285714285,
main_en,pipeline,LFM2 350M,3,Max brightness,direct,Max Brightness,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},8503,0.0,0.0,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly control device brightness. However, I can adjust the brightness using the `setScreenBrightness` tool if you'd like. Would you like me to do that?"""
main_en,pipeline,LFM2 350M,4,Make it suitable for cooking,contextual,Make it suitable for cooking.,0,0,0,setVolume,,"{""volumePercent"":60}",{},10324,0.0,0.0,"No tool calls generated; raw: ""I understand you'd like me to make cooking suitable. Unfortunately, I don't have a specific tool to directly advise on cooking methods or recipes. However, depending on your needs, I might be able to assist with related tasks. For example, I could enable Do Not Disturb mode to ensure you don't inter…"""
main_en,pipeline,LFM2 350M,5,Prepare for office meeting,contextual,Prepare for office meeting.,0,0,0,setDoNotDisturb,,"{""durationMinutes"":60}",{},7502,0.0,0.0,"No tool calls generated; raw: ""{""success"":true,""error"":null,""cloud_handoff"":false,""cloud_handoff_reason"":""handoff failed: no API key"",""response"":"""",""context_response"":""<|tool_call_start|>[setDoNotDisturb(0)]<|tool_call_end|>"",""function_calls"":[{""name"": ""setDoNotDisturb"", ""arguments"": {""0"": }}],""segments"":[],""confidence"":0.5737,""c…"""
main_en,pipeline,LFM2 350M,6,Make it loud for music,contextual,Make it loud for music.,0,0,0,setVolume,,"{""volumePercent"":90}",{},8664,0.0,0.0,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly control music volume. However, I could set a volume to a specific level using the `setVolume` tool. Would you like me to set a volume to a certain percentage?"""
main_en,pipeline,LFM2 350M,7,Enable silence for 2 hours,temporal,Enable silence for two hours.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":120}","{""durationMinutes"":120}",7673,0.2,0.0,
main_en,pipeline,LFM2 350M,8,Silence for the next 50 minutes,temporal,Silence for the next 15 minutes.,0,1,0,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":50}","{""durationMinutes"":15}",7877,0.16666666666666666,0.16666666666666666,
main_en,pipeline,LFM2 350M,9,Torch on please,direct,Torch on please.,0,0,0,toggleFlashlight,,"{""enable"":true}",{},9697,0.0,0.0,"No tool calls generated; raw: ""I'm sorry, I don't have a direct tool to ""torch on."" However, I can control some of my available tools to help you achieve a similar effect. For example, I could enable Do Not Disturb mode with a specified duration using the `setDoNotDisturb` tool, or create a rule to mute the device with `createRul…"""
main_en,pipeline,LFM2 350M,10,Brightness suitable for dark room,contextual,Brightness suitable for dark room.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":20}",{},10281,0.0,0.0,"No tool calls generated; raw: ""I understand you'd like to set a brightness for a dark room. Unfortunately, I don't have a direct tool to control screen brightness. However, I can adjust the volume to a lower level using the `setVolume` tool, or perhaps create a rule to automatically adjust brightness based on a trigger like ""dark…"""
main_en,pipeline,LFM2 350M,11,Turn off alerts while exercising,rule,Don't over load while exercising.,0,0,0,createRule,setDoNotDisturb,"{""trigger"":""exercising"",""action"":""mute""}","{""trigger"":""exercise"",""durationMinutes"":30}",8466,0.6,0.6,
main_en,pipeline,LFM2 350M,12,Silence when in meditation,rule,"Silence, well in meditation.",0,0,0,createRule,setDoNotDisturb,"{""trigger"":""in meditation"",""action"":""enable_dnd""}","{""trigger"":""meditation""}",8435,0.25,0.25,
main_en,pipeline,LFM2 350M,13,Set brightness for reading,contextual,said rightness for reading.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":70}",{},10086,0.5,0.5,"No tool calls generated; raw: ""I understand you'd like me to confirm ""rightness for reading."" Unfortunately, I don't have a tool to directly verify that. However, I could potentially create a rule to remind you to check for rightness when reading, or set a Do Not Disturb mode to ensure you're not disturbed during reading. Would y…"""
main_en,pipeline,LFM2 350M,14,Turn on do not disturb for 30 minutes,temporal,"Turn on, do not disturb mode for 30 minutes.",1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":30}","{""durationMinutes"":30}",7540,0.125,0.125,
main_en,pipeline,LFM2 350M,15,Torch off please,direct,Dorch of please.,0,0,0,toggleFlashlight,setDoNotDisturb,"{""enable"":false}","{""trigger"":""dorn"",""durationMinutes"":30}",7591,0.6666666666666666,0.6666666666666666,
main_en,pipeline,LFM2 350M,16,Make screen brighter,direct,Mix green brighter.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},9963,0.6666666666666666,0.6666666666666666,"No tool calls generated; raw: ""I understand you'd like to mix green brighter. Unfortunately, I don't have a direct tool to perform that effect. However, I can offer some alternatives:

*   **`setScreenBrightness`**: I can set the screen brightness to a brighter level. You'd need to specify a brightness percentage between 70 and 1…"""
main_en,pipeline,LFM2 350M,17,Quiet mode for 1 hour,temporal,Quite mode for one hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",7400,0.4,0.2,
main_en,pipeline,LFM2 350M,18,Dim screen for sleeping,contextual,Then screen for sleeping.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":10}",{},9314,0.25,0.25,"No tool calls generated; raw: ""I understand you'd like me to perform a screen for sleeping. Unfortunately, I don't have a tool specifically designed to detect sleep. However, I could potentially create a rule to trigger a ""mute"" action if you'd like. Would you like me to create a rule like that? I can set it to trigger ""in class""…"""
main_en,pipeline,LFM2 350M,19,Enable quiet mode when at church,rule,Enable quiet mode when I church.,0,0,0,createRule,setDoNotDisturb,"{""trigger"":""at church"",""action"":""enable_dnd""}","{""trigger"":""church""}",7352,0.16666666666666666,0.16666666666666666,
main_en,pipeline,LFM2 350M,20,Brighten screen,direct,Brightens screen.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},8235,0.5,0.5,"No tool calls generated; raw: ""I don't have a direct tool to brighten the screen. However, I can adjust the screen brightness using the `setScreenBrightness` tool if you'd like. Would you like me to do that?"""
main_en,pipeline,LFM2 350M,21,Set phone for quiet work environment,contextual,Set phone for quiet walk environment.,0,0,0,setVolume,,"{""volumePercent"":25}",{},10004,0.16666666666666666,0.16666666666666666,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly set your phone for a quiet walk environment. However, I can control some of my available tools to help create a more peaceful atmosphere. For example, I could enable Do Not Disturb mode for a specific duration using the `setDoNotDisturb` tool, or create a r…"""
main_en,pipeline,LFM2 350M,22,Brightness up,direct,Brightness up.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":80}",{},9160,0.0,0.0,"No tool calls generated; raw: ""I don't have a tool to directly set the screen brightness. However, I can adjust the volume to a higher level using the `setVolume` tool if that's helpful. I can also control the flashlight with `toggleFlashlight` if you'd like to turn it on or off."""
main_en,pipeline,LFM2 350M,23,Flashlight on,direct,Flashlight on.,0,0,1,toggleFlashlight,setDoNotDisturb,"{""enable"":true}","{""enable"":true}",7315,0.0,0.0,
main_en,pipeline,LFM2 350M,24,Enable do not disturb mode for 25 minutes,temporal,enable do not disturb mode for 25 minutes,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":25}","{""durationMinutes"":25}",7605,0.0,0.0,
main_en,pipeline,LFM2 350M,25,Screen to 90 percent,parameter,Screen to 90%,0,0,0,setScreenBrightness,,"{""brightnessPercent"":90}",{},10144,0.25,0.0,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly control the screen brightness to 90%. However, I can adjust the volume to 90% using the `setVolume` tool if that's helpful. Alternatively, I could create a rule to turn on the screen brightness using the `createRule` tool. Would you like me to create a rule…"""
main_en,pipeline,LFM2 350M,26,Brighten screen,direct,Right-end screen.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":100}","{""brightnessPercent"":85}",8352,1.0,1.0,
main_en,pipeline,LFM2 350M,28,Phone settings for meditation,contextual,Phone setting to meditation.,0,0,0,setVolume,,"{""volumePercent"":15}",{},9179,0.5,0.5,"No tool calls generated; raw: ""I understand you'd like to set a phone to meditation mode. Unfortunately, I don't have a direct tool to control phone settings. However, I can create a rule to enable Do Not Disturb mode for a specific duration using the `createRule` tool. Would you like me to create a rule like ""do not disturb for …"""
main_en,pipeline,LFM2 1.2B Tool,27,Switch on internet,direct,Switch on Internet.,1,1,1,toggleWifi,toggleWifi,"{""enable"":true}","{""enable"":true}",18503,0.0,0.0,
main_en,pipeline,LFM2 1.2B Tool,29,Set phone to sleep mode,contextual,Set phone to sleep mode.,0,0,0,setVolume,,"{""volumePercent"":10}",{},22572,0.0,0.0,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly set your phone to sleep mode. However, I can create a rule that, when triggered, would automatically enable sleep mode. Would you like me to create a rule that, for example, when you're in a certain class (e.g., 'home'), enables sleep mode?"""
main_en,pipeline,LFM2 350M,27,Switch on internet,direct,Switch on Internet.,0,0,0,toggleWifi,,"{""enable"":true}",{},8379,0.0,0.0,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly switch on Internet. However, I can enable Do Not Disturb mode for a specified duration using the `setDoNotDisturb` tool. Would you like me to do that?"""
main_en,pipeline,LFM2 350M,29,Set phone to sleep mode,contextual,Set phone to sleep mode.,0,0,0,setVolume,,"{""volumePercent"":10}",{},9520,0.0,0.0,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly set your phone to sleep mode. However, I can create a rule to enable sleep mode. Would you like me to create a rule that triggers ""in class"" and then sets your phone to sleep? Here's the command:

`createRule(trigger=""in class"", action=""sleep"")`

This will …"""
main_en,pipeline,LFM2.5 350M,0,Turn off flashlight,direct,Turn off the flashlight.,1,1,1,toggleFlashlight,toggleFlashlight,"{""enable"":false}","{""enable"":false}",7262,0.3333333333333333,0.3333333333333333,
main_en,pipeline,LFM2.5 350M,1,Quiet mode for 1 hour,temporal,Quite mode for 1 hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",7369,0.2,0.2,
main_en,pipeline,LFM2.5 350M,2,I need quiet time for one hour,temporal,I need quite time for one hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",7249,0.14285714285714285,0.14285714285714285,
main_en,pipeline,LFM2.5 350M,3,Max brightness,direct,Max Brightness,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":100}","{""brightnessPercent"":70}",7133,0.0,0.0,
main_en,pipeline,LFM2.5 350M,4,Make it suitable for cooking,contextual,Make it suitable for cooking.,0,0,0,setVolume,,"{""volumePercent"":60}",{},8261,0.0,0.0,"No tool calls generated; raw: ""I don't have access to tools that can help with cooking recommendations. However, I can help adjust screen brightness, enable/disable flashlight, or control volume levels if needed. Would you like assistance with any of these tasks instead?"""
main_en,pipeline,LFM2.5 350M,5,Prepare for office meeting,contextual,Prepare for office meeting.,0,0,0,setDoNotDisturb,,"{""durationMinutes"":60}",{},11694,0.0,0.0,"No tool calls generated; raw: ""I don't have access to tools that can help prepare for an office meeting. However, I can help with tasks like adjusting screen brightness, enabling/disabling Wi-Fi, controlling flashlight, or setting volume levels if needed. Would you like assistance with any of these tasks instead?"""
main_en,pipeline,LFM2.5 350M,6,Make it loud for music,contextual,Make it loud for music.,0,0,0,setVolume,,"{""volumePercent"":90}",{},12613,0.0,0.0,"No tool calls generated; raw: ""I don't have access to tools that can adjust music volume levels. However, I can help with other tasks like setting screen brightness, enabling/disabling Wi-Fi, or controlling flashlight brightness if needed. Would you like assistance with any of these instead?"""
main_en,pipeline,LFM2.5 350M,7,Enable silence for 2 hours,temporal,Enable silence for two hours.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":120}","{""durationMinutes"":120}",8419,0.2,0.0,
main_en,pipeline,LFM2.5 350M,8,Silence for the next 50 minutes,temporal,Silence for the next 15 minutes.,0,1,0,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":50}","{""durationMinutes"":15}",8199,0.16666666666666666,0.16666666666666666,
main_en,pipeline,LFM2.5 350M,9,Torch on please,direct,Torch on please.,0,0,0,toggleFlashlight,,"{""enable"":true}",{},8669,0.0,0.0,"No tool calls generated; raw: ""I'm sorry, but I don't have the capability to perform physical actions like torch use. My current tools are focused on adjusting settings like screen brightness, volume, and Wi-Fi. Would you like help with any of these tasks instead?"""
main_en,pipeline,LFM2.5 350M,10,Brightness suitable for dark room,contextual,Brightness suitable for dark room.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":20}","{""brightnessPercent"":30}",7756,0.0,0.0,
main_en,pipeline,LFM2.5 350M,11,Turn off alerts while exercising,rule,Don't over load while exercising.,0,0,0,createRule,,"{""trigger"":""exercising"",""action"":""mute""}",{},8439,0.6,0.6,"No tool calls generated; raw: ""I don't have access to tools that can help manage exercise-related settings like ""don't overload"" modes. Would you like me to help with something else using the available tools?"""
main_en,pipeline,LFM2.5 350M,12,Silence when in meditation,rule,"Silence, well in meditation.",0,0,0,createRule,setDoNotDisturb,"{""trigger"":""in meditation"",""action"":""enable_dnd""}","{""durationMinutes"":60}",7633,0.25,0.25,
main_en,pipeline,LFM2.5 350M,13,Set brightness for reading,contextual,said rightness for reading.,1,1,1,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":70}","{""brightnessPercent"":70}",7755,0.5,0.5,
main_en,pipeline,LFM2.5 350M,14,Turn on do not disturb for 30 minutes,temporal,"Turn on, do not disturb mode for 30 minutes.",1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":30}","{""durationMinutes"":30}",7874,0.125,0.125,
main_en,pipeline,LFM2.5 350M,15,Torch off please,direct,Dorch of please.,0,0,0,toggleFlashlight,,"{""enable"":false}",{},8960,0.6666666666666666,0.6666666666666666,"No tool calls generated; raw: ""I'm sorry, but I don't have the capability to assist with personal requests like ""Dorch of please."" However, I can help with tasks like adjusting screen brightness, enabling/disabling Wi-Fi, or controlling flashlight settings. Let me know how I can support you!"""
main_en,pipeline,LFM2.5 350M,16,Make screen brighter,direct,Mix green brighter.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":100}","{""brightnessPercent"":70}",7601,0.6666666666666666,0.6666666666666666,
main_en,pipeline,LFM2.5 350M,17,Quiet mode for 1 hour,temporal,Quite mode for one hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",7934,0.4,0.2,
main_en,pipeline,LFM2.5 350M,18,Dim screen for sleeping,contextual,Then screen for sleeping.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":10}","{""brightnessPercent"":30}",7587,0.25,0.25,
main_en,pipeline,LFM2.5 350M,19,Enable quiet mode when at church,rule,Enable quiet mode when I church.,0,0,0,createRule,,"{""trigger"":""at church"",""action"":""enable_dnd""}",{},8166,0.16666666666666666,0.16666666666666666,"No tool calls generated; raw: ""I don't have access to settings or mode preferences for your church. Would you like me to help with something else using the available tools?"""
main_en,pipeline,LFM2.5 350M,20,Brighten screen,direct,Brightens screen.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":100}","{""brightnessPercent"":70}",7704,0.5,0.5,
main_en,pipeline,LFM2.5 350M,21,Set phone for quiet work environment,contextual,Set phone for quiet walk environment.,0,0,0,setVolume,,"{""volumePercent"":25}",{},8741,0.16666666666666666,0.16666666666666666,"No tool calls generated; raw: ""I don't have access to a phone settings or quiet walk environment controls. The available tools only handle Wi-Fi, screen brightness, volume, and flashlight controls. Would you like me to help with any of these supported functions instead?"""
main_en,pipeline,LFM2.5 350M,22,Brightness up,direct,Brightness up.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":80}","{""brightnessPercent"":70}",7616,0.0,0.0,
main_en,pipeline,LFM2.5 350M,23,Flashlight on,direct,Flashlight on.,1,1,1,toggleFlashlight,toggleFlashlight,"{""enable"":true}","{""enable"":true}",7561,0.0,0.0,
main_en,pipeline,LFM2.5 350M,24,Enable do not disturb mode for 25 minutes,temporal,enable do not disturb mode for 25 minutes,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":25}","{""durationMinutes"":25}",7727,0.0,0.0,
main_en,pipeline,LFM2.5 350M,25,Screen to 90 percent,parameter,Screen to 90%,1,1,1,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":90}","{""brightnessPercent"":90}",7593,0.25,0.0,
main_en,pipeline,LFM2.5 350M,26,Brighten screen,direct,Right-end screen.,0,1,0,setScreenBrightness,setScreenBrightness,"{""brightnessPercent"":100}","{""brightnessPercent"":70}",7662,1.0,1.0,
main_en,pipeline,LFM2.5 350M,27,Switch on internet,direct,Switch on Internet.,1,1,1,toggleWifi,toggleWifi,"{""enable"":true}","{""enable"":true}",7444,0.0,0.0,
main_en,pipeline,LFM2.5 350M,28,Phone settings for meditation,contextual,Phone setting to meditation.,0,0,0,setVolume,,"{""volumePercent"":15}",{},8908,0.5,0.5,"No tool calls generated; raw: ""I don't have access to a phone settings tool or meditation-specific functions. However, I can help with other tasks like adjusting screen brightness, enabling/disabling Wi-Fi, controlling flashlight, or setting volume levels. Let me know what you'd like to do!"""
main_en,pipeline,LFM2.5 350M,29,Set phone to sleep mode,contextual,Set phone to sleep mode.,0,0,0,setVolume,,"{""volumePercent"":10}",{},8722,0.0,0.0,"No tool calls generated; raw: ""I don't have access to a phone settings or sleep mode functionality. The available tools only handle Wi-Fi control, screen brightness, volume adjustments, and screen brightness settings. Would you like me to help with any of these supported functions instead?"""
main_en,pipeline,LFM2 700M,0,Turn off flashlight,direct,Turn off the flashlight.,0,0,0,toggleFlashlight,,"{""enable"":false}",{},18275,0.3333333333333333,0.3333333333333333,"No tool calls generated; raw: ""I'm sorry, I don't have a tool to directly turn off the flashlight. However, I can toggle the flashlight on and off using the `toggleFlashlight` tool. Would you like me to do that? I can also adjust the volume or set the screen brightness if you need."""
main_en,pipeline,LFM2 700M,1,Quiet mode for 1 hour,temporal,Quite mode for 1 hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",14841,0.2,0.2,
main_en,pipeline,LFM2 700M,2,I need quiet time for one hour,temporal,I need quite time for one hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",14955,0.14285714285714285,0.14285714285714285,
main_en,pipeline,LFM2 700M,3,Max brightness,direct,Max Brightness,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},19664,0.0,0.0,"No tool calls generated; raw: ""I understand you want to set the screen brightness to a specific percentage. Currently, I don't have a direct tool to set the screen brightness to a specific percentage. However, I can use the `setScreenBrightness` tool to adjust the screen brightness to a percentage between 0 and 100. Would you lik…"""
main_en,pipeline,LFM2 700M,4,Make it suitable for cooking,contextual,Make it suitable for cooking.,0,0,0,setVolume,,"{""volumePercent"":60}",{},19987,0.0,0.0,"No tool calls generated; raw: ""I understand you want to make the environment more suitable for cooking. Unfortunately, I don't have a specific ""cooking"" rule yet. However, I can help you adjust some things that might be helpful. For example, I can:

*   **Set Do Not Disturb** mode for focused cooking time.
*   **Adjust Screen Bri…"""
